Room {
   name stair3_3r
   x 17.9
   y 14.35
   z 19.93
   w 2.6
   h 4.1
   l 1.7
   floor Wall {
     texture stair.gif
   }
obstacles [
   Ramp {
   coords [ 17.9, 14.35, 21.63]
   texture stair.gif
   type 4
   width 2.6
   height 2.05
   length 1.7
   numsteps 12
   }
   ]
}


Room {
   name stair3r_2
   x 17.9
   y 12.3
   z 17.95
   w 2.6
   h 4.1
   l 1.7
   floor Wall {
     texture stair.gif
   }
obstacles [
   Ramp {
   coords [ 17.9, 14.35, 19.63]
   texture stair.gif
   type 4
   width 2.6
   height -2.05
   length 1.7
   numsteps 12
   }
   ]
}


Room {
   name stair2_2r
   x 17.9
   y 10.25
   z 19.93
   w 2.6
   h 4.1
   l 1.7
   floor Wall {
     texture stair.gif
   }
obstacles [
   Ramp {
   coords [ 17.9, 10.25, 21.63]
   texture stair.gif
   type 4
   width 2.6
   height 2.05
   length 1.7
   numsteps 12
   }
   ]
}

Room {
   name stair2r_1
   x 17.9
   y 8.2
   z 17.93
   w 2.6
   h 4.1
   l 1.7
texture wall.gif
   floor Wall {
     texture stair.gif
   }
obstacles [
   Ramp {
   coords [ 17.9, 10.25, 19.63]
   texture stair.gif
   type 4
   width 2.6
   height -2.05
   length 1.7
   numsteps 12
   }
   ]
}



Room {
   name stair1_1r
   x 17.9
   y 6.15
   z 19.93
   w 2.6
   h 4.1
   l 1.7
   floor Wall {
     texture stair.gif
   }
obstacles [
   Ramp {
   coords [ 17.9, 6.15, 21.63]
   texture stair.gif
   type 4
   width 2.6
   height 2.05
   length 1.7
   numsteps 12
   }
   ]
}

Room {
   name stair1r_G
   x 17.9
   y 4.1
   z 17.93
   w 2.6
   h 4.1
   l 1.7
   floor Wall {
     texture stair.gif
   }
obstacles [
   Ramp {
   coords [ 17.9, 6.15, 19.63]
   texture stair.gif
   type 4
   width 2.6
   height -2.05
   length 1.7
   numsteps 12
   }
   ]
}

Room {
   name stairG_Gr
   x 17.9
   y 2.05
   z 19.93
   w 2.6
   h 4.1
   l 1.7
   floor Wall {
     texture stair.gif
   }
obstacles [
   Ramp {
   coords [ 17.9, 2.05, 21.63]
   texture stair.gif
   type 4
   width 2.6
   height 2.05
   length 1.7
   numsteps 12
   }
   ]
}

Room {
   name stairGr_B
   x 17.9
   y 0.0
   z 17.93
   w 2.6
   h 4.1
   l 1.7
   floor Wall {
     texture stair.gif
   }
obstacles [
   Ramp {
   coords [ 17.9, 2.05, 19.63]
   texture stair.gif
   type 4
   width 2.6
   height -2.05
   length 1.7
   numsteps 12
   }
   ]
}
