Tuesday Logged out at 09:11:01, AFK is (0)
Tuesday Logged out at 09:15:19, AFK is (0)
Tuesday Logged out at 09:19:29, AFK is (0)
Tuesday Logged out at 09:25:03, AFK is (0)
Tuesday Logged out at 09:42:09, AFK is (0)
Tuesday Logged out at 09:46:21, AFK is (0)
Tuesday Logged out at 09:56:00, AFK is (0)
Tuesday Logged out at 09:57:31, AFK is (0)
Tuesday Logged out at 10:00:40, AFK is (0)
Tuesday Logged out at 10:02:32, AFK is (0)
Tuesday Logged out at 10:05:33, AFK is (0)
Tuesday Logged out at 10:07:30, AFK is (0)
Tuesday Logged out at 10:17:53, AFK is (0)
Tuesday Logged out at 10:26:42, AFK is (0)
Tuesday Logged out at 10:35:59, AFK is (0)
Tuesday Logged out at 10:39:26, AFK is (0)
Tuesday Logged out at 10:42:00, AFK is (0)
Tuesday Logged out at 10:45:09, AFK is (0)
Tuesday Logged out at 11:05:45, AFK is (0)
